2025-07-21 15:35:21.667 | CONFIG  | Thread-3  | InventoryLoggingDemo | Logging configuration completed successfully
2025-07-21 15:35:21.732 | FINE    | Thread-3  | InventoryManager | Total products in inventory: 3
2025-07-21 15:35:21.732 | FINE    | Thread-3  | InventoryManager | Products in category 'Electronics': 3
2025-07-21 15:35:21.733 | INFO    | Thread-3  | InventoryManager | Product added to inventory: CHAIR001
2025-07-21 15:35:21.733 | FINE    | Thread-3  | InventoryManager | Total products in inventory: 4
2025-07-21 15:35:21.734 | FINE    | Thread-3  | InventoryManager | Products in category 'Furniture': 1
2025-07-21 15:35:21.734 | INFO    | Thread-3  | InventoryManager | Product added to inventory: DESK001
2025-07-21 15:35:21.735 | FINE    | Thread-3  | InventoryManager | Total products in inventory: 5
2025-07-21 15:35:21.735 | FINE    | Thread-3  | InventoryManager | Products in category 'Furniture': 2
2025-07-21 15:35:21.736 | INFO    | Thread-3  | InventoryManager | Product added to inventory: BOOK001
2025-07-21 15:35:21.737 | FINE    | Thread-3  | InventoryManager | Total products in inventory: 6
2025-07-21 15:35:21.738 | FINE    | Thread-3  | InventoryManager | Products in category 'Books': 1
2025-07-21 15:35:21.739 | INFO    | Thread-3  | InventoryManager | Product added to inventory: PEN001
2025-07-21 15:35:21.739 | FINE    | Thread-3  | InventoryManager | Total products in inventory: 7
2025-07-21 15:35:21.740 | FINE    | Thread-3  | InventoryManager | Products in category 'Office Supplies': 1
2025-07-21 15:35:21.741 | INFO    | Thread-3  | InventoryLoggingDemo | Performing inventory operations...
2025-07-21 15:35:21.746 | INFO    | Thread-3  | Product         | Product CHAIR001 quantity updated: 8 -> 3
2025-07-21 15:35:21.750 | WARNING | Thread-3  | Product         | Product CHAIR001 (Office Chair) has LOW STOCK: 3 units remaining
2025-07-21 15:35:21.751 | INFO    | Thread-3  | Product         | Product DESK001 quantity updated: 5 -> 1
2025-07-21 15:35:21.752 | WARNING | Thread-3  | Product         | Product DESK001 (Standing Desk) has LOW STOCK: 1 units remaining
2025-07-21 15:35:21.763 | INFO    | Thread-3  | Product         | Product LAPTOP001 price updated: 1299.99 -> 999.99
2025-07-21 15:35:21.764 | WARNING | Thread-3  | Product         | Significant price change for product LAPTOP001: -23.1%
2025-07-21 15:35:21.764 | INFO    | Thread-3  | InventoryLoggingDemo | Searching for electronics products...
2025-07-21 15:35:21.765 | FINE    | Thread-3  | InventoryManager | Searching products by category: Electronics
2025-07-21 15:35:21.807 | FINE    | Thread-3  | InventoryManager | Found 3 products in category: Electronics
2025-07-21 15:35:21.808 | INFO    | Thread-3  | InventoryLoggingDemo | Found 3 electronics products
2025-07-21 15:35:21.809 | INFO    | Thread-3  | InventoryManager | Processing low stock alerts...
2025-07-21 15:35:21.813 | WARNING | Thread-3  | InventoryManager | Found 2 products with low stock:
2025-07-21 15:35:21.814 | WARNING | Thread-3  | InventoryManager | LOW STOCK ALERT: Standing Desk (DESK001) - Only 1 units remaining
2025-07-21 15:35:21.815 | WARNING | Thread-3  | InventoryManager | LOW STOCK ALERT: Office Chair (CHAIR001) - Only 3 units remaining
2025-07-21 15:35:21.816 | INFO    | Thread-3  | InventoryManager | Generating comprehensive inventory report...
2025-07-21 15:35:21.826 | INFO    | Thread-3  | InventoryManager | === INVENTORY REPORT ===
2025-07-21 15:35:21.827 | INFO    | Thread-3  | InventoryManager | Total Products: 7
2025-07-21 15:35:21.828 | INFO    | Thread-3  | InventoryManager | Total Items: 224
2025-07-21 15:35:21.829 | INFO    | Thread-3  | InventoryManager | Total Inventory Value: $21327.76
2025-07-21 15:35:21.829 | INFO    | Thread-3  | InventoryManager | === CATEGORY BREAKDOWN ===
2025-07-21 15:35:21.834 | INFO    | Thread-3  | InventoryManager | Category 'Electronics': 3 products, Value: $18749.10
2025-07-21 15:35:21.836 | INFO    | Thread-3  | InventoryManager | Category 'Furniture': 2 products, Value: $999.96
2025-07-21 15:35:21.838 | INFO    | Thread-3  | InventoryManager | Category 'Office Supplies': 1 products, Value: $199.00
2025-07-21 15:35:21.839 | INFO    | Thread-3  | InventoryManager | Category 'Books': 1 products, Value: $1379.70
2025-07-21 15:35:21.840 | INFO    | Thread-3  | InventoryManager | === TOP 5 MOST EXPENSIVE PRODUCTS ===
2025-07-21 15:35:21.845 | INFO    | Thread-3  | InventoryManager | Gaming Laptop - $999.99
2025-07-21 15:35:21.846 | INFO    | Thread-3  | InventoryManager | Standing Desk - $399.99
2025-07-21 15:35:21.847 | INFO    | Thread-3  | InventoryManager | Office Chair - $199.99
2025-07-21 15:35:21.847 | INFO    | Thread-3  | InventoryManager | Mechanical Keyboard - $89.99
2025-07-21 15:35:21.848 | INFO    | Thread-3  | InventoryManager | Java Programming Guide - $45.99
2025-07-21 15:35:21.848 | INFO    | Thread-3  | InventoryLoggingDemo | Testing bulk operations...
2025-07-21 15:35:21.851 | INFO    | Thread-3  | InventoryManager | Starting bulk operation: restock on 3 products
2025-07-21 15:35:21.860 | INFO    | Thread-3  | InventoryManager | Starting bulk operation: discount on 2 products
2025-07-21 15:35:22.868 | FINE    | Thread-31 | InventoryManager | Searching for product: CHAIR001
2025-07-21 15:35:22.869 | FINE    | Thread-30 | InventoryManager | Searching for product: LAPTOP001
2025-07-21 15:35:22.869 | FINE    | Thread-31 | InventoryManager | Product found: CHAIR001
2025-07-21 15:35:22.870 | FINE    | Thread-30 | InventoryManager | Product found: LAPTOP001
2025-07-21 15:35:22.871 | INFO    | Thread-31 | Product         | Product CHAIR001 price updated: 199.99 -> 179.99
2025-07-21 15:35:22.871 | INFO    | Thread-30 | Product         | Product LAPTOP001 quantity updated: 15 -> 65
2025-07-21 15:35:22.872 | FINE    | Thread-31 | InventoryManager | Applied discount to product: CHAIR001
2025-07-21 15:35:22.872 | FINE    | Thread-30 | InventoryManager | Restocked product: LAPTOP001
2025-07-21 15:35:22.873 | FINE    | Thread-31 | InventoryManager | Searching for product: DESK001
2025-07-21 15:35:22.873 | FINE    | Thread-30 | InventoryManager | Searching for product: MOUSE001
2025-07-21 15:35:22.873 | FINE    | Thread-31 | InventoryManager | Product found: DESK001
2025-07-21 15:35:22.874 | FINE    | Thread-30 | InventoryManager | Product found: MOUSE001
2025-07-21 15:35:22.875 | INFO    | Thread-31 | Product         | Product DESK001 price updated: 399.99 -> 359.99
2025-07-21 15:35:22.875 | INFO    | Thread-30 | Product         | Product MOUSE001 quantity updated: 50 -> 100
2025-07-21 15:35:22.876 | FINE    | Thread-31 | InventoryManager | Applied discount to product: DESK001
2025-07-21 15:35:22.876 | FINE    | Thread-30 | InventoryManager | Restocked product: MOUSE001
2025-07-21 15:35:22.877 | INFO    | Thread-31 | InventoryManager | Bulk operation completed: discount
2025-07-21 15:35:22.877 | FINE    | Thread-30 | InventoryManager | Searching for product: KEYB001
2025-07-21 15:35:22.878 | FINE    | Thread-30 | InventoryManager | Product found: KEYB001
2025-07-21 15:35:22.880 | INFO    | Thread-30 | Product         | Product KEYB001 quantity updated: 25 -> 75
2025-07-21 15:35:22.881 | FINE    | Thread-30 | InventoryManager | Restocked product: KEYB001
2025-07-21 15:35:22.881 | INFO    | Thread-30 | InventoryManager | Bulk operation completed: restock
2025-07-21 15:35:22.883 | INFO    | Thread-30 | InventoryLoggingDemo | All bulk operations completed successfully
2025-07-21 15:35:22.884 | INFO    | Thread-3  | InventoryLoggingDemo | Testing error handling...
2025-07-21 15:35:22.885 | SEVERE  | Thread-3  | InventoryLoggingDemo | Critical error in main application: Cannot invoke "Product.getProductId()" because "<parameter1>" is null
2025-07-21 15:35:22.889 | SEVERE  | Thread-3  | InventoryLoggingDemo | Main application exception:
java.lang.NullPointerException: Cannot invoke "Product.getProductId()" because "<parameter1>" is null
	at InventoryManager.addProduct(InventoryLoggingDemo.java:133)
	at InventoryLoggingDemo.main(InventoryLoggingDemo.java:445)
	at java.base/jdk.internal.reflect.DirectMethodHandleAccessor.invoke(DirectMethodHandleAccessor.java:104)
	at java.base/java.lang.reflect.Method.invoke(Method.java:565)
	at jdk.compiler/com.sun.tools.javac.launcher.SourceLauncher.execute(SourceLauncher.java:254)
	at jdk.compiler/com.sun.tools.javac.launcher.SourceLauncher.run(SourceLauncher.java:138)
	at jdk.compiler/com.sun.tools.javac.launcher.SourceLauncher.main(SourceLauncher.java:76)

2025-07-21 15:35:22.891 | INFO    | Thread-3  | InventoryLoggingDemo | Cleaning up resources...
2025-07-21 15:35:22.891 | INFO    | Thread-3  | InventoryManager | Shutting down InventoryManager...
2025-07-21 15:35:22.893 | INFO    | Thread-3  | InventoryManager | Executor service shut down successfully
2025-07-21 15:35:22.894 | INFO    | Thread-3  | InventoryManager | InventoryManager shutdown complete
2025-07-21 15:35:22.895 | INFO    | Thread-3  | InventoryLoggingDemo | === INVENTORY MANAGEMENT SYSTEM SHUTDOWN COMPLETE ===
2025-07-21 16:00:47.059 | CONFIG  | Thread-3  | InventoryLoggingDemo | Logging configuration completed successfully
2025-07-21 16:00:47.082 | INFO    | Thread-3  | InventoryLoggingDemo | === INVENTORY MANAGEMENT SYSTEM STARTED ===
2025-07-21 16:00:47.083 | CONFIG  | Thread-3  | InventoryLoggingDemo | Java version: 24.0.2
2025-07-21 16:00:47.084 | CONFIG  | Thread-3  | InventoryLoggingDemo | Operating system: Linux
2025-07-21 16:00:47.089 | INFO    | Thread-3  | InventoryManager | InventoryManager initialized with thread pool size: 5
2025-07-21 16:00:47.090 | CONFIG  | Thread-3  | InventoryManager | Initial inventory capacity: 0
2025-07-21 16:00:47.091 | INFO    | Thread-3  | InventoryLoggingDemo | Creating sample inventory...
2025-07-21 16:00:47.093 | INFO    | Thread-3  | Product         | New product created: [ID=LAPTOP001, Name=Gaming Laptop, Category=Electronics, Price=1299.99, Quantity=15]
2025-07-21 16:00:47.094 | INFO    | Thread-3  | Product         | New product created: [ID=MOUSE001, Name=Wireless Mouse, Category=Electronics, Price=29.99, Quantity=50]
2025-07-21 16:00:47.095 | INFO    | Thread-3  | Product         | New product created: [ID=KEYB001, Name=Mechanical Keyboard, Category=Electronics, Price=89.99, Quantity=25]
2025-07-21 16:00:47.096 | INFO    | Thread-3  | Product         | New product created: [ID=CHAIR001, Name=Office Chair, Category=Furniture, Price=199.99, Quantity=8]
2025-07-21 16:00:47.097 | INFO    | Thread-3  | Product         | New product created: [ID=DESK001, Name=Standing Desk, Category=Furniture, Price=399.99, Quantity=5]
2025-07-21 16:00:47.097 | INFO    | Thread-3  | Product         | New product created: [ID=BOOK001, Name=Java Programming Guide, Category=Books, Price=45.99, Quantity=30]
2025-07-21 16:00:47.098 | INFO    | Thread-3  | Product         | New product created: [ID=PEN001, Name=Blue Ballpoint Pen, Category=Office Supplies, Price=1.99, Quantity=100]
2025-07-21 16:00:47.100 | INFO    | Thread-3  | InventoryManager | Product added to inventory: LAPTOP001
2025-07-21 16:00:47.100 | FINE    | Thread-3  | InventoryManager | Total products in inventory: 1
2025-07-21 16:00:47.104 | FINE    | Thread-3  | InventoryManager | Products in category 'Electronics': 1
2025-07-21 16:00:47.105 | INFO    | Thread-3  | InventoryManager | Product added to inventory: MOUSE001
2025-07-21 16:00:47.105 | FINE    | Thread-3  | InventoryManager | Total products in inventory: 2
2025-07-21 16:00:47.106 | FINE    | Thread-3  | InventoryManager | Products in category 'Electronics': 2
2025-07-21 16:00:47.107 | INFO    | Thread-3  | InventoryManager | Product added to inventory: KEYB001
2025-07-21 16:00:47.107 | FINE    | Thread-3  | InventoryManager | Total products in inventory: 3
2025-07-21 16:00:47.107 | FINE    | Thread-3  | InventoryManager | Products in category 'Electronics': 3
2025-07-21 16:00:47.108 | INFO    | Thread-3  | InventoryManager | Product added to inventory: CHAIR001
2025-07-21 16:00:47.108 | FINE    | Thread-3  | InventoryManager | Total products in inventory: 4
2025-07-21 16:00:47.109 | FINE    | Thread-3  | InventoryManager | Products in category 'Furniture': 1
2025-07-21 16:00:47.110 | INFO    | Thread-3  | InventoryManager | Product added to inventory: DESK001
2025-07-21 16:00:47.111 | FINE    | Thread-3  | InventoryManager | Total products in inventory: 5
2025-07-21 16:00:47.112 | FINE    | Thread-3  | InventoryManager | Products in category 'Furniture': 2
2025-07-21 16:00:47.112 | INFO    | Thread-3  | InventoryManager | Product added to inventory: BOOK001
2025-07-21 16:00:47.113 | FINE    | Thread-3  | InventoryManager | Total products in inventory: 6
2025-07-21 16:00:47.113 | FINE    | Thread-3  | InventoryManager | Products in category 'Books': 1
2025-07-21 16:00:47.114 | INFO    | Thread-3  | InventoryManager | Product added to inventory: PEN001
2025-07-21 16:00:47.114 | FINE    | Thread-3  | InventoryManager | Total products in inventory: 7
2025-07-21 16:00:47.114 | FINE    | Thread-3  | InventoryManager | Products in category 'Office Supplies': 1
2025-07-21 16:00:47.115 | INFO    | Thread-3  | InventoryLoggingDemo | Performing inventory operations...
2025-07-21 16:00:47.120 | INFO    | Thread-3  | Product         | Product CHAIR001 quantity updated: 8 -> 3
2025-07-21 16:00:47.124 | WARNING | Thread-3  | Product         | Product CHAIR001 (Office Chair) has LOW STOCK: 3 units remaining
2025-07-21 16:00:47.127 | INFO    | Thread-3  | Product         | Product DESK001 quantity updated: 5 -> 1
2025-07-21 16:00:47.128 | WARNING | Thread-3  | Product         | Product DESK001 (Standing Desk) has LOW STOCK: 1 units remaining
2025-07-21 16:00:47.139 | INFO    | Thread-3  | Product         | Product LAPTOP001 price updated: 1299.99 -> 999.99
2025-07-21 16:00:47.141 | WARNING | Thread-3  | Product         | Significant price change for product LAPTOP001: -23.1%
2025-07-21 16:00:47.142 | INFO    | Thread-3  | InventoryLoggingDemo | Searching for electronics products...
2025-07-21 16:00:47.142 | FINE    | Thread-3  | InventoryManager | Searching products by category: Electronics
2025-07-21 16:00:47.176 | FINE    | Thread-3  | InventoryManager | Found 3 products in category: Electronics
2025-07-21 16:00:47.178 | INFO    | Thread-3  | InventoryLoggingDemo | Found 3 electronics products
2025-07-21 16:00:47.180 | INFO    | Thread-3  | InventoryManager | Processing low stock alerts...
2025-07-21 16:00:47.188 | WARNING | Thread-3  | InventoryManager | Found 2 products with low stock:
2025-07-21 16:00:47.190 | WARNING | Thread-3  | InventoryManager | LOW STOCK ALERT: Standing Desk (DESK001) - Only 1 units remaining
2025-07-21 16:00:47.192 | WARNING | Thread-3  | InventoryManager | LOW STOCK ALERT: Office Chair (CHAIR001) - Only 3 units remaining
2025-07-21 16:00:47.194 | INFO    | Thread-3  | InventoryManager | Generating comprehensive inventory report...
2025-07-21 16:00:47.219 | INFO    | Thread-3  | InventoryManager | === INVENTORY REPORT ===
2025-07-21 16:00:47.220 | INFO    | Thread-3  | InventoryManager | Total Products: 7
2025-07-21 16:00:47.221 | INFO    | Thread-3  | InventoryManager | Total Items: 224
2025-07-21 16:00:47.222 | INFO    | Thread-3  | InventoryManager | Total Inventory Value: $21327.76
2025-07-21 16:00:47.223 | INFO    | Thread-3  | InventoryManager | === CATEGORY BREAKDOWN ===
2025-07-21 16:00:47.235 | INFO    | Thread-3  | InventoryManager | Category 'Electronics': 3 products, Value: $18749.10
2025-07-21 16:00:47.236 | INFO    | Thread-3  | InventoryManager | Category 'Furniture': 2 products, Value: $999.96
2025-07-21 16:00:47.237 | INFO    | Thread-3  | InventoryManager | Category 'Office Supplies': 1 products, Value: $199.00
2025-07-21 16:00:47.238 | INFO    | Thread-3  | InventoryManager | Category 'Books': 1 products, Value: $1379.70
2025-07-21 16:00:47.239 | INFO    | Thread-3  | InventoryManager | === TOP 5 MOST EXPENSIVE PRODUCTS ===
2025-07-21 16:00:47.251 | INFO    | Thread-3  | InventoryManager | Gaming Laptop - $999.99
2025-07-21 16:00:47.252 | INFO    | Thread-3  | InventoryManager | Standing Desk - $399.99
2025-07-21 16:00:47.253 | INFO    | Thread-3  | InventoryManager | Office Chair - $199.99
2025-07-21 16:00:47.254 | INFO    | Thread-3  | InventoryManager | Mechanical Keyboard - $89.99
2025-07-21 16:00:47.255 | INFO    | Thread-3  | InventoryManager | Java Programming Guide - $45.99
2025-07-21 16:00:47.256 | INFO    | Thread-3  | InventoryLoggingDemo | Testing bulk operations...
2025-07-21 16:00:47.261 | INFO    | Thread-3  | InventoryManager | Starting bulk operation: restock on 3 products
2025-07-21 16:00:47.272 | INFO    | Thread-3  | InventoryManager | Starting bulk operation: discount on 2 products
2025-07-21 16:00:48.274 | FINE    | Thread-30 | InventoryManager | Searching for product: LAPTOP001
2025-07-21 16:00:48.275 | FINE    | Thread-31 | InventoryManager | Searching for product: CHAIR001
2025-07-21 16:00:48.275 | FINE    | Thread-30 | InventoryManager | Product found: LAPTOP001
2025-07-21 16:00:48.276 | FINE    | Thread-31 | InventoryManager | Product found: CHAIR001
2025-07-21 16:00:48.277 | INFO    | Thread-30 | Product         | Product LAPTOP001 quantity updated: 15 -> 65
2025-07-21 16:00:48.277 | INFO    | Thread-31 | Product         | Product CHAIR001 price updated: 199.99 -> 179.99
2025-07-21 16:00:48.278 | FINE    | Thread-30 | InventoryManager | Restocked product: LAPTOP001
2025-07-21 16:00:48.278 | FINE    | Thread-31 | InventoryManager | Applied discount to product: CHAIR001
2025-07-21 16:00:48.279 | FINE    | Thread-30 | InventoryManager | Searching for product: MOUSE001
2025-07-21 16:00:48.279 | FINE    | Thread-31 | InventoryManager | Searching for product: DESK001
2025-07-21 16:00:48.280 | FINE    | Thread-31 | InventoryManager | Product found: DESK001
2025-07-21 16:00:48.280 | FINE    | Thread-30 | InventoryManager | Product found: MOUSE001
2025-07-21 16:00:48.281 | INFO    | Thread-31 | Product         | Product DESK001 price updated: 399.99 -> 359.99
2025-07-21 16:00:48.281 | INFO    | Thread-30 | Product         | Product MOUSE001 quantity updated: 50 -> 100
2025-07-21 16:00:48.282 | FINE    | Thread-31 | InventoryManager | Applied discount to product: DESK001
2025-07-21 16:00:48.282 | FINE    | Thread-30 | InventoryManager | Restocked product: MOUSE001
2025-07-21 16:00:48.283 | INFO    | Thread-31 | InventoryManager | Bulk operation completed: discount
2025-07-21 16:00:48.284 | FINE    | Thread-30 | InventoryManager | Searching for product: KEYB001
2025-07-21 16:00:48.284 | FINE    | Thread-30 | InventoryManager | Product found: KEYB001
2025-07-21 16:00:48.285 | INFO    | Thread-30 | Product         | Product KEYB001 quantity updated: 25 -> 75
2025-07-21 16:00:48.285 | FINE    | Thread-30 | InventoryManager | Restocked product: KEYB001
2025-07-21 16:00:48.286 | INFO    | Thread-30 | InventoryManager | Bulk operation completed: restock
2025-07-21 16:00:48.287 | INFO    | Thread-30 | InventoryLoggingDemo | All bulk operations completed successfully
2025-07-21 16:00:48.288 | INFO    | Thread-3  | InventoryLoggingDemo | Testing error handling...
2025-07-21 16:00:48.290 | SEVERE  | Thread-3  | InventoryLoggingDemo | Critical error in main application: Cannot invoke "Product.getProductId()" because "<parameter1>" is null
2025-07-21 16:00:48.297 | SEVERE  | Thread-3  | InventoryLoggingDemo | Main application exception:
java.lang.NullPointerException: Cannot invoke "Product.getProductId()" because "<parameter1>" is null
	at InventoryManager.addProduct(InventoryLoggingDemo.java:133)
	at InventoryLoggingDemo.main(InventoryLoggingDemo.java:445)
	at java.base/jdk.internal.reflect.DirectMethodHandleAccessor.invoke(DirectMethodHandleAccessor.java:104)
	at java.base/java.lang.reflect.Method.invoke(Method.java:565)
	at jdk.compiler/com.sun.tools.javac.launcher.SourceLauncher.execute(SourceLauncher.java:254)
	at jdk.compiler/com.sun.tools.javac.launcher.SourceLauncher.run(SourceLauncher.java:138)
	at jdk.compiler/com.sun.tools.javac.launcher.SourceLauncher.main(SourceLauncher.java:76)

2025-07-21 16:00:48.300 | INFO    | Thread-3  | InventoryLoggingDemo | Cleaning up resources...
2025-07-21 16:00:48.301 | INFO    | Thread-3  | InventoryManager | Shutting down InventoryManager...
2025-07-21 16:00:48.304 | INFO    | Thread-3  | InventoryManager | Executor service shut down successfully
2025-07-21 16:00:48.304 | INFO    | Thread-3  | InventoryManager | InventoryManager shutdown complete
2025-07-21 16:00:48.306 | INFO    | Thread-3  | InventoryLoggingDemo | === INVENTORY MANAGEMENT SYSTEM SHUTDOWN COMPLETE ===
